# INFORMACIÓN DE PELÍCULAS OBTENIDA MANUALMENTE VÍA GEMINI
# ================================================================
#
# PROCESO MANUAL UTILIZADO:
# 1. Se tomó la lista de películas únicas del archivo "nombres_unicos_prioritarios.txt"
#    (ordenada de más falta de información a menor falta de información)
# 2. Se copió y pegó la lista completa en Google Gemini
# 3. Se solicitó a Gemini que completara la información faltante (DIRECTOR y ACTOR_PRINCIPAL)
#    para cada película en la medida de lo posible
#
# AUTOMATIZACIÓN FUTURA:
# Este proceso manual se puede automatizar en posteriores pasos mediante:
# - Integración con la API de Google Gemini
# - Uso de credenciales de cuenta individual de cada usuario
# - Implementación de consultas automáticas por lotes
# - Validación y limpieza automática de respuestas
#
# FORMATO ESPERADO:
# Cada línea debe seguir el formato:
# NOMBRE_UNICO|DIRECTOR|ACTOR_PRINCIPAL
#
# Ejemplo:
# ALIEN ROMULUS|Fede Álvarez|Cailee Spaeny; David Jonsson
# BEETLEJUICE BEETLEJUICE|Tim Burton|Michael Keaton; Winona Ryder
#
# NOTAS:
# - Si no se encuentra información, dejar el campo vacío después del |
# - Múltiples actores separados por punto y coma (;)
# - Múltiples directores separados por punto y coma (;)
# - Mantener los nombres únicos exactamente como aparecen en la lista original
#
# ================================================================
# INFORMACIÓN RECOLECTADA (COPIAR Y PEGAR AQUÍ):
# ================================================================
NOMBRE_UNICO,DIRECTOR,ACTOR_PRINCIPAL 
 MICKEY 17,Bong Joon-ho,Robert Pattinson 

 MICKEY 17 BR,Bong Joon-ho,Robert Pattinson 

 MICKEY 17 LED,Bong Joon-ho,Robert Pattinson 

 MICMX ARILLO DE HOMBRE MUERTO,Alejandro Gerber Bicecci, 

 MICMX CONCIERTO PARA OTRAS MANOS,Cristóbal Cruz, 

 MICMX CORTOMETRAJES DE FICCIÓN MX,, 

 MICMX HOMBRES ÍNTEGROS,Alejandro Andrade, 

 MICMX LIFTING,David Castro, 

 MICMX PARTIDA,Diego Ozuna, 

 MICMX PRIMERA PERSONA,Máximo Hollander, 

 MICMX ROSINANTE,Olmo Guerra, 

 MICMX SONG OF THE LAST LACANDON HOLY MAN,Nicolas Défossé, 

 MICMX SOY LO QUE NUNCA FUI,America Maldonado, 

 MICMX VOZ VIAJANTE,Constanza Valerio, 

 MIG XII MUESTRA INTERGALÁCTICA DÍA 1,, 

 MIG XII MUESTRA INTERGALÁCTICA DÍA 2,, 

 MIG XII MUESTRA INTERGALÁCTICA DÍA 3,, 

 MIG XII MUESTRA INTERGALÁCTICA DÍA 4,, 

 MIG XII MUESTRA INTERGALÁCTICA DÍA 5,, 

 MIG XII MUESTRA INTERGALÁCTICA DÍA 6,, 

 MIJARES SINFÓNICO CELEBRA EL AMOR,,Mijares 

 MIRACULOUS LAS AVENTURAS DE LADYBUG Y CAT SJ,Jeremy Zag, 

 MIRREYES VS GODÍNEZ LAS VEGAS BR,Chava Cartas,Regina Blandón 

 MISIÓN IMPOSIBLE LA SENTENCIA FINAL BR,Christopher McQuarrie,Tom Cruise 

 MISIÓN IMPOSIBLE LA SENTENCIA FINAL FINA,Christopher McQuarrie,Tom Cruise 

 MISIÓN IMPOSIBLE SENTENCIA BR,Christopher McQuarrie,Tom Cruise 

 MISIÓN IMPOSIBLE SENTENCIA MORTAL P 1,Christopher McQuarrie,Tom Cruise 

 MIX ALMA DEL DESIERTO,Mónica Álvarez Franco, 

 MIX ARRUINARLO TODO,Andrea Rovira, 

 MIX BREVE HISTORIA DE UN BREVE DRAG,Fausto Estrada, 

 MIX CORTOS PANORAMA PROGRAMA 2,, 

 MIX DETRANS DE MÍ,Issa López, 

 MIX HOMBRES ÍNTEGROS,Alejandro Andrade, 

 MIX LA RED,Tonatiuh Loza, 

 MIX LLÁMAME AGNES,Aglaja Veteranyi, 

 MIX LO QUE ESCRIBIMOS JUNTOS,Valeria Stucki, 

 MIX MEMORABILIA,Pedro de Filippis, 

 MIX MI NOVIO EL FASCISTA,Roberta Torre, 

 MIX SANDBAG DAM,Jamie M. Dagg, 

 MIX SER MIKOLAJ,Krzysztof Chodorowski, 

 MIX SOY LO QUE NUNCA FUI,America Maldonado, 

 MIX SPEAKING OUT,Bárbara Lago, 

 MIX TODO LO QUE SIEMPRE QUISIMOS,Luis Murillo Arias, 

 MIX VIH LA CAUSA JUSTA,Richie Alvarez, 

 MOANA 2,Dave Derrick Jr.,Auliʻi Cravalho 

 MOANA 2 BR,Dave Derrick Jr.,Auliʻi Cravalho 

 MOANA 2 FINA,Dave Derrick Jr.,Auliʻi Cravalho 

 MOANA 2 FINB,Dave Derrick Jr.,Auliʻi Cravalho 

 MTV UNPLUGGED LOS BUNKERS,,Los Bunkers 

 MUERTE DE UN UNICORNIO,Alex Scharfman,Paul Rudd 

 MUFASA EL REY LEÓN BR,Barry Jenkins,Aaron Pierre 

 MUFASA EL REY LEÓN FES,Barry Jenkins,Aaron Pierre 

 MUFASA EL REY LEÓN FINA,Barry Jenkins,Aaron Pierre 

 MUFASA EL REY LEÓN FINB,Barry Jenkins,Aaron Pierre 

 MUFASA EL REY LEÓN SJ,Barry Jenkins,Aaron Pierre 

 MUJERES DEL ALBA,Jimena Montemayor Loyo, 

 MY HERO ACADEMIA AHORA ES TU TURNO,Kenji Nagasaki, 

 MÉDIUM,Cristina Gallego & Ciro Guerra, 

 NADIE,Ilya Naishuller,Bob Odenkirk 

 NADIE 2 BR,Timo Tjahjanto,Bob Odenkirk 

 NCT DREAM MYSTERY LAB DREAM SCAPE EN CIN,,NCT Dream 

 NCT DREAM MYSTERY LAB DREAM SCAPE EN CINES,,NCT Dream 

 NIKO LA AVENTURA DE LAS NARICES FRÍAS,Kari Juusonen & Jørgen Lerdam, 

 NIKO LA AVENTURA DE LAS NARICES FRÍAS SJ,Kari Juusonen & Jørgen Lerdam, 

 NIKO LAS AVENTURAS DE LAS NARICES FRÍAS,Kari Juusonen & Jørgen Lerdam, 

 NIKO LAS AVENTURAS DE LAS NARICES FRÍAS SJ,Kari Juusonen & Jørgen Lerdam, 

 NO HAGAS OLAS,Alexander Mackendrick,Tony Curtis 

 NOCHE DE LOS HOMBRES LOBO,François Uzan,Jean Reno 

 NOVICIA REBELDE 60 ANIVERSARIO,Robert Wise,Julie Andrews 

 NOVOCAINE SIN DOLOR BR,Dan Berk & Robert Olsen,Jack Quaid 

 ODISEA EL REGRESO,Uberto Pasolini,Ralph Fiennes 

 ONE DIRECTION ASI SOMOS,Morgan Spurlock,One Direction 

 ONE DIRECTION ASÍ SOMOS,Morgan Spurlock,One Direction 

 OPERACIÓN PANDA MISIÓN RESCATE SJ,Vasily Rovenskiy, 

 OTRO VIERNES DE LOCOS BR,Nisha Ganatra,Jamie Lee Curtis 

 OTRO VIERNES DE LOCOS FINB,Nisha Ganatra,Jamie Lee Curtis 

 PADDINGTON AVENTURA EN LA SELVA SJ,Dougal Wilson,Ben Whishaw 

 PADDINGTON EN PERÚ SJ,Dougal Wilson,Ben Whishaw 

 PAISAJES,Paul Urkijo Alijo, 

 PARANORMAN REMASTERIZADO,Chris Butler & Sam Fell, 

 PARTHENOPE LOS AMORES DE NÁPOLES,Paolo Sorrentino,Celeste Dalla Porta 

 PASANTE DE MODA 10 ANIVERSARIO,Nancy Meyers,Robert De Niro 

 PATASOLA CAZA INFIELES,Ersain Hidalgo, 

 PAW PATROL LA SÚPER PELÍCULA,Cal Brunker, 

 PECADORES,B. Harrison Smith, 

 PELÍCULA DE MINECRAFT BR,Jared Hess,Jason Momoa 

 PELÍCULA DE MINECRAFT FINA,Jared Hess,Jason Momoa 

 PELÍCULA DE MINECRAFT FINB,Jared Hess,Jason Momoa 

 PELÍCULA DE MINECRAFT SJ,Jared Hess,Jason Momoa 

 PEQUEÑA,Lucía Carreras, 

 PEQUEÑA CONFUSIÓN,A.T. White, 

 PEREZ OSOS,Juan Carlos Cremata Malberti, 

 PEREZ OSOS SJ,Juan Carlos Cremata Malberti, 

 PITUFOS FINB,Chris Miller, 

 PITUFOS SJ,Chris Miller, 

 PLAN DEL ASESINO,Daniel Benmayor,Mario Casas 

 PRINCE SIGN O THE TIMES,Prince,Prince 

 PUENTE EN LLAMAS,Isaac Florentine,Dolph Lundgren 

 PÉREZ OSOS,Juan Carlos Cremata Malberti, 

 PÉREZ OSOS SJ,Juan Carlos Cremata Malberti, 

 QFF QUEER FILM FESTIVAL SELECCIÓN OFICIAL 1,, 

 QFF QUEER FILM FESTIVAL SELECCIÓN OFICIAL 3,, 

 QFF QUEER FILM FESTIVAL SELECCIÓN OFICIAL 4,, 

 QFF QUEER FILM FESTIVAL SELECCIÓN OFICIAL 5,, 

 QFF QUEER FILM FESTIVAL SELECCIÓN OFICIAL 6,, 

 QUÉ HUEVOS SOFÍA,Marlon Moreno,Mónica Huarte 

 QUÉ HUEVOS SOFÍA BR,Marlon Moreno,Mónica Huarte 

 RE ANTES DEL AMANECER,Richard Linklater,Ethan Hawke 

 RE DC LIGA DE SUPERMASCOTAS,Jared Stern,Dwayne Johnson 

 RE DEMON SLAYER EL TREN INFINITO,Haruo Sotozaki, 

 RE DEMON SLAYER MUGEN TRAIN,Haruo Sotozaki, 

 RE EL CONJURO 3 EL DIABLO ME OBLIGÓ A HACERLO,Michael Chaves,Patrick Wilson 

 RE LA MOMIA 25 ANIVERSARIO,Stephen Sommers,Brendan Fraser 

 RE PULP FICTION,Quentin Tarantino,John Travolta 

 RE STAR WARS III LA VENGANZA DE LOS SITHS,George Lucas,Ewan McGregor 

 RE STAR WARS III LA VENGANZA DE SITH,George Lucas,Ewan McGregor 

 RE TIBURÓN,Steven Spielberg,Roy Scheider 

 RE YANA WARA,Tito Catacora, 

 RECUERDOS DEL AYER,Isao Takahata, 

 RED VELVET HAPPINESS DIARY MY DEAR REVE1UV,,Red Velvet 

 RESCATE IMPLACABLE BR,Mabrouk El Mechri,Henry Cavill 

 RIESGO BAJO CERO,Jonathan Hensleigh,Liam Neeson 

 RM LA GENTE ADECUADA EN EL LUGAR EQUIVOCADO,,RM 

 RM RIGHT PEOPLE WRONG PLACE,,RM 

 ROBIN EL POSEÍDO,Robin Entreinger, 

 ROBOT SALVAJE,Chris Sanders,Lupita Nyong'o 

 ROBOT SALVAJE SJ,Chris Sanders,Lupita Nyong'o 

 ROSARIO HERENCIA MALDITA,Homero Bueno, 

 ROSES BR,Lluís Danés, 

 RUNSEOKJIN EP TOUR EN VIVO DESDE AMSTERDAM,, 

 RUNSEOKJIN_EP TOUR GLOBAL LIVE VIEWING OV,, 

 RYAN GARCIA VS ROLLY ROMERO ORI,,Ryan Garcia 

 SATURDAY NIGHT LA NOCHE QUE CAMBIÓ LA COME,Jason Reitman,Gabriel LaBelle 

 SEPTIEMBRE 5,Tim Fehlbaum,Peter Sarsgaard 

 SEVENTEEN RIGHT HERE WORLD,,SEVENTEEN 

 SEVENTEEN RIGHT HERE WORLD TOUR,,SEVENTEEN 

 SEVENTEEN RIGHT HERE WORLD TOUR EN,,SEVENTEEN 

 SEVENTEEN RIGHT HERE WORLD TOUR EN CINES,,SEVENTEEN 

 SEVENTEEN TOUR FOLLOW NUEVAM,,SEVENTEEN 

 SEVENTEEN WORLD TOUR BE THE SUN,,SEVENTEEN 

 SEÑOR DE LOS ANILLOS EL RETORNO DEL REY,Peter Jackson,Elijah Wood 

 SEÑOR DE LOS ANILLOS GUERRA ROHIRRIM,Kenji Kamiyama,Brian Cox 

 SEÑOR DE LOS ANILLOS LA GUERRA DE LOS BR,Kenji Kamiyama,Brian Cox 

 SFF 2000 METERS TO ANDRIIVKA,Anton Shtuka, 

 SFF DJ AHMET,Georgi M. Unkovski, 

 SFF FUNCIÓN ESPECIAL ABEL,Diego Luna,Christopher Ruíz-Esparza 

 SFF FUNCIÓN ESPECIAL LA LEY DE HERODES,Luis Estrada,Damián Alcázar 

 SFF LURKER,Alex Russell, 

 SFF MALU,Pedro Freire, 

 SFF MR NOBODY AGAINST PUTIN,David Borenstein, 

 SFF ONE TO ONE JOHN YOKO,Kevin Macdonald, 

 SFF PLAINCLOTHES,Oren Gerner, 

 SFF PRIME MINISTER,David Wexler, 

 SFF PROGRAMA DE CORTOS,, 

 SFF SALLY,Cristina Costantini, 

 SFF SELENA Y LOS DINOS,Gregory Nava,Jennifer Lopez 

 SFF SESIÓN Q A 2000 METERS TO ANDRIIVKA,, 

 SFF SESIÓN Q A DJ AHMET,, 

 SFF SESIÓN Q A GEN_,, 

 SFF SESIÓN Q A LURKER,, 

 SFF SESIÓN Q A MR NOBODY AGAINST PUTIN,, 

 SFF SESIÓN Q A ONE TO ONE JOHN YOKO,, 

 SFF SESIÓN Q A PLAINCLOTHES,, 

 SFF SESIÓN Q A PRIME MINISTER,, 

 SFF SESIÓN Q A PROGRAMA DE CORTOS,, 

 SFF SESIÓN Q A SELENA Y LOS DINOS,, 

 SFF SESIÓN Q A THE DATING GAME,, 

 SFF SESIÓN Q A THE VIRGIN OF THE QUARRY LAKE,, 

 SFF SESIÓN Q A TOGETHER,, 

 SFF SESIÓN Q A TWINLESS,, 

 SFF THE DATING GAME,Anna Kendrick,Anna Kendrick 

 SFF THE UGLY STEPSISTER,Emilie Blichfeldt, 

 SFF THE VIRGIN OF THE QUARRY LAKE,Laura Casabé, 

 SFF TWINLESS,James Sweeney, 

 SIEMPRE HABRÁ UN MAÑANA,Paola Cortellesi,Paola Cortellesi 

 SIKANDAR,A.R. Murugadoss,Salman Khan 

 SKETCH DIBUJOS ANIMADOS,Seth Worley, 

 SNEAKS UN PAR CON SUERTE SJ,Rob Edwards, 

 SOBREVIVIENTE LA CAÍDA DEL VUELO 811,Pasha Patriki, 

 SOLO LEVELING SEGUNDO DESPERTAR,Shunsuke Nakashige, 

 SOLTERA CODICIADA 2,Joanna Lombardi,Gisela Ponce de León 

 SONIC 3 LA PELÍCULA BR,Jeff Fowler,Ben Schwartz 

 SONIC 3 LA PELÍCULA SJ,Jeff Fowler,Ben Schwartz 

 SONIC LA PELÍCULA,Jeff Fowler,Ben Schwartz 

 STANS EMINEM SUS GRANDES FANS,Steven Leckart, 

 STAR WARS EPISODIO III LA VENGANZA DE FES,George Lucas,Ewan McGregor 

 STRAIGHT,Marcel Gisler, 

 STRAIGHT CUÁL ES TU SECRETO,Marcel Gisler, 

 SUBMARINITOS,Elly Mackay, 

 SUBMARINITOS SJ,Elly Mackay, 

 SUPERMAN BR,James Gunn,David Corenswet 

 SUPERNOVA STRIKERS AMIGO,Young-Soo, 

 SUSTANCIA,Coralie Fargeat,Demi Moore 

 TAEYONG TY TRACK IN CINEMAS,,Taeyong 

 TCF CUANDO LLEGA EL OTOÑO,Jean-Jacques Annaud, 

 TCF LA MAESTRA VIOLET,Léa Pool, 

 TCF LOS LAZOS QUE NOS UNEN,Roschdy Zem, 

 TCF RODRIGO ENAMORADO,Juan Ibáñez, 

 TCF UN TOQUE DE AMOR,Guillaume Canet, 

 TEARS FOR FEARS LIVE A TIPPING POINT FILM,,Tears for Fears 

 TERREMOTO 8 5 GRADOS,John Andreas Andersen, 

 TERREMOTO MAGNITUD 9 0,Kim Ji-hoon, 

 TERRIFIER 3 PAYASO SINIESTRO,Damien Leone,David Howard Thornton 

 THUNDERBOLTS BR,Jake Schreier,Florence Pugh 

 THUNDERBOLTS FES,Jake Schreier,Florence Pugh 

 THUNDERBOLTS FINA,Jake Schreier,Florence Pugh 

 TIBURÓN BLANCO ATAQUE FINAL,James Nunn, 

 TIPOS MALOS 2 BR,Pierre Perifel,Sam Rockwell 

 TIPOS MALOS 2 FINB,Pierre Perifel,Sam Rockwell 

 TOMORROW X TOGETHER WORLD TOUR,,Tomorrow X Together 

 TOMORROW X TOGETHER WORLD TOUR SWEET MIRAGE,,Tomorrow X Together 

 TORTUGA ROJA,Michaël Dudok de Wit, 

 TOY STORY 30 ANIVERSARIO,Lee Unkrich,Tom Hanks 

 TOY STORY 30 ANIVERSARIO SJ,Lee Unkrich,Tom Hanks 

 TRAMPA DEL RATÓN,Kike Maíllo, 

 TRANSFORMERS UNO SJ,Josh Cooley,Chris Hemsworth 

 TRATADO DE INVISIBILIDAD,Lucía Feijóo, 

 TRIVIA NIGHT BY CINÉPOLIS Y CAPITÁN AMÉRICA,, 

 TUMBA DE LAS LUCIÉRNAGAS,Isao Takahata, 

 TÉTANO,Salomé Lamas, 

 UNTIL DOWN NOCHE DE TERROR,David F. Sandberg,Ella Rubin 

 VAMPIRA HUMANISTA BUSCA SUICIDA,Ariane Louis-Seize,Sara Montpetit 

 VELADA CON DUA LIPA,,Dua Lipa 

 VENGANZA DE CENICIENTA,Louisa Warren, 

 VIDA EN GRIS,Lasse Hallström, 

 VIDAS DE SING SING,Greg Kwedar,Colman Domingo 

 VIENES O ME VOY,Frank Ariza,Dani Rovira 

 WARNING EN VIVO DESDE EL AUDITORIO NAC,, 

 WICKED SING ALONG,Jon M. Chu,Cynthia Erivo 

 YO VI TRES LUCES NEGRAS,Santiago Lozano Álvarez, 

 YUNGBLUD ARE YOU READY BOY,,Yungblud 

 YUNGBLUD ARE YOU READY BOY EN CINES,,Yungblud 

 ZAK Y WOWO LA LEYENDA DE LENDARYS,Philippe Duchêne, 

 ZERO BASE ONE TIMELESS WORLD,,ZEROBASEONE 

 ZEROBASEONE THE FIRST TOUR TIMELESS,,ZEROBASEONE 

 ZEROBASEONE THE FIRST TOUR TIMELESS WORLD,,ZEROBASEONE 

 ZEROBASEONE THE FIRST TOUR TIMELESS WORLD IN,,ZEROBASEONE 

 ÁGUILA Y EL GUSANO,Guita Schyfter, 

 ÚLTIMA CENA,Dallas Jenkins,Jonathan Roumie 

 ÚLTIMO RODEO,Conor Allyn,Scott Eastwood 

 ÚLTIMO VIAJE FINB,Anna Marsh, 

 200 LOBO SJ,Rodrigo "Lobo" Courdurier, 

 2023 WEVERSE CON FESTIVAL,, 

 4 FANTÁSTICOS PRIMEROS PASOS,Matt Shakman,Pedro Pascal 

 4 FANTÁSTICOS PRIMEROS PASOS BR,Matt Shakman,Pedro Pascal 

 4 FANTÁSTICOS PRIMEROS PASOS LED,Matt Shakman,Pedro Pascal 

 ABUELA,Paco Plaza,Almudena Amor 

 ALUVIÓN,Alejandro Nieto Polo, 

 AMATEUR OPERACIÓN VENGANZA,James Hawes,Rami Malek 

 AMB BUSCANDO A SUGAR MAN,Malik Bendjelloul, 

 AMB CASSANDRO EL EXÓTICO,Roger Ross Williams,Gael García Bernal 

 AMB EL ACTO DE MATAR,Joshua Oppenheimer, 

 AMB KAMAY,Sharofat Arabova, 

 AMB LA IMAGEN AUSENTE,Rithy Panh, 

 AMB LOS SUEÑOS QUE COMPARTIMOS,Valentina Pelayo, 

 AMB PEACHES GOES BANANAS,Marie Losier, 

 AMB SIEMPRE SEREMOS JÓVENES,Gonzalo Perdomo, 

 AMB USUARIOS,Natalia Almada, 

 AMB ZOÉ PANORAMAS,Rodrigo Guardiola & Gabriel Cruz Rivas, 

 AMENAZA EN EL AIRE,Timo Vuorensola, 

 AMOR EN LA GRAN CIUDAD,Don Scardino, 

 AMOR ERIZO,Adrien Candiard, 

 AMORES COMPARTIDOS,Paloma Zapata, 

 AMORES INCOMPLETOS,Gilberto González Penilla, 

 AMORES MATERIALISTAS,Fernando Frías de la Parra,Thomasin McKenzie 

 ANIMALES PELIGROSOS,Dean Fleischer Camp,Jason Statham 

 ANORA,Sean Baker,Mikey Madison 

 APRENDIZ,Ali Abbasi,Sebastian Stan 

 ARRIERA,Isabel Cristina Fregoso, 

 ASESINO IMPLACABLE,Pierre Morel,Liam Neeson 

 ATRAPADO ROBANDO,James Foley, 

 ATREVIDA,Víctor Hugo Borges, 

 ATTACK ON TITAN EL ATAQUE FINAL,Yūichirō Hayashi, 

 AÑO DIFÍCIL,Éric Toledano & Olivier Nakache,Pio Marmaï 

 BAILARINA,Len Wiseman,Ana de Armas 

 BALADA DE LA ISLA,Eytan Fox, 

 BAMBI UNA AVENTURA EN EL BOSQUE,David Hand & James Algar, 

 BATMAN AZTECA CHOQUE DE IMPERIOS,Juan Meza-León,Horacio Garcia Rojas 

 BAÑO DEL DIABLO,Veronika Franz & Severin Fiala,Anja Plaschg 

 BLANCA NIEVES,Marc Webb,Rachel Zegler 

 BLANCA NIEVES BR,Marc Webb,Rachel Zegler 

 BLANCA NIEVES LED,Marc Webb,Rachel Zegler 

 BLINDADO SIN SALIDA,Eduardo Chow, 

 BOONIE BEARS VIAJE EN EL TIEMPO,Lin Huida, 

 BRIDGET JONES LOCA POR ÉL,Michael Morris,Renée Zellweger 

 CAPITÁN AMÉRICA UN NUEVO MUNDO FINA,Julius Onah,Anthony Mackie 

 CAPITÁN AMÉRICA UN NUEVO MUNDO LED,Julius Onah,Anthony Mackie 

 CATÁSTROFE EN LA NIEVE,Julian Gilbey, 

 CAZATESOROS,Jesse V. Johnson,Thomas Jane 

 CHICAS PESADAS 20 ANIVERSARIO,Samantha Jayne & Arturo Perez Jr.,Angourie Rice 

 CLUB PERFECTO,Castille Landon, 

 COLINA DE LAS AMAPOLAS,Gorō Miyazaki, 

 COMPAÑERA PERFECTA,Zoë Kravitz,Naomi Ackie 

 CONDE DE MONTECRISTO,Matthieu Delaporte & Alexandre de La Patellière,Pierre Niney 

 CONFESIÓN DEL DIABLO,Pål Øie, 

 CONJURO,James Wan,Vera Farmiga 

 CONJURO 3 EL DIABLO ME OBLIGÓ,Michael Chaves,Patrick Wilson 

 CONJURO 4 ÚLTIMOS RITOS,Michael Chaves,Patrick Wilson 

 CONJURO DE LA BRUJA,Mark Atkins, 

 CONTADOR 2,Gavin O'Connor,Ben Affleck 

 CONTRATO PARA MATAR,James Cullen Bressack, 

 CORAZONES JÓVENES,Anthony Schatteman, 

 CORINA,Carla Estrada,Naian González Norvind 

 CRIATURA INFERNAL,Scott Slone, 

 CRIATURAS LÍNEA DE EXTINCIÓN,Giles Alderson, 

 CRUCIFIJO SANGRE DEL EXORCISTA,Chris Beyrooty, 

 CUADRO PERDIDO,Mariano Pozzi, 

 CÓDIGO NEGRO,Ric Roman Waugh,Gerard Butler 

 CÓDIGO TRAJE ROJO,, 

 CÓMO ENTRENAR A TU DRAGÓN,Dean DeBlois,Mason Thames 

 CÓMO ENTRENAR A TU DRAGÓN BR,Dean DeBlois,Mason Thames 

 CÓMO ENTRENAR A TU DRAGÓN SJ,Dean DeBlois,Mason Thames 

 CÓMO SER MILLONARIO ANTES QUE MUERA LA,Pat Boonnitipat,Putthipong Assaratanakul 

 CÓMO SER MILLONARIO ANTES QUE MUERA LA ABUELA,Pat Boonnitipat,Putthipong Assaratanakul 

 CÓNCLAVE,Edward Berger,Ralph Fiennes 

 CÓNCLAVE LED,Edward Berger,Ralph Fiennes 

 DALIA Y EL LIBRO ROJO,David Bisbano, 

 DAN DA DAN EVIL EYE,Fuga Yamashiro, 

 DEMON SLAYER CASTILLO INFINITO,Haruo Sotozaki, 

 DEMON SLAYER KIMETSU NO YAIBA,Haruo Sotozaki, 

 DEMON SLAYER KIMETSU NO YAIBA CASTILLO,Haruo Sotozaki, 

 DEMONIO EN EL COFRE,Lawrence Fowler, 

 DESASTRE EN EL ÁRTICO,Adam MacDonald, 

 DESPUÉS DEL APOCALIPSIS,Elias Matar, 

 DESTINO FINAL LAZOS DE SANGRE,Zach Lipovsky & Adam B. Stein, 

 DESTINO FINAL LAZOS DE SANGRE BR,Zach Lipovsky & Adam B. Stein, 

 DOGMAN,Luc Besson,Caleb Landry Jones 

 DOLOR REAL,Jesse Eisenberg,Jesse Eisenberg 

 DRAGON BALL DAIMA,Aya Komaki, 

 DREAMS SUEÑOS,Akira Kurosawa,Akira Terao 

 DROP AMENAZA ANÓNIMA,Christopher Landon, 

 DRÁCULA,Francis Ford Coppola,Gary Oldman 

 DUNA PARTE DOS,Denis Villeneuve,Timothée Chalamet 

 DÉJAME ESTAR CONTIGO,Sang-Hee, 

 EDDINGTON,Ari Aster,Joaquin Phoenix 

 EMILIA PÉREZ,Jacques Audiard,Zoe Saldaña 

 ENCERRADO,Nour Wazzi, 

 ESTA AMBICIÓN DESMEDIDA,Santos Bacana, C. Tangana & Cristina Trenas,C. Tangana 

 ESTA ES LA U,Daniel Henríquez, 

 EXORCISMO,Joshua John Miller,Russell Crowe 

 EXORCISMO EL RITUAL,Scott Derrickson, 

 EXTERMINIO LA EVOLUCIÓN,Danny Boyle,Jodie Comer 

 F1,Joseph Kosinski,Brad Pitt 

 F1 LA PELÍCULA,Joseph Kosinski,Brad Pitt 

 FICG CEREMONIA,, 

 FICG LOS INOCENTES,Guillermo Helo, 

 FICG SORDA,Eva Libertad, 

 FICG UN MUNDO PARA MÍ,Reyes Caballero, 

 GLADIADOR II,Ridley Scott,Paul Mescal 

 GLADIADOR II LED,Ridley Scott,Paul Mescal 

 GODZILLA MINUS ONE,Takashi Yamazaki,Ryunosuke Kamiki 

 GOLPE DE SUERTE EN PARÍS,Woody Allen,Lou de Laâge 

 GUASÓN 2 FOLIE A DEUX,Todd Phillips,Joaquin Phoenix 

 GUTEN TAG RAMÓN,Jorge Ramírez Suárez,Kristyan Ferrer 

 HABITACIÓN DE AL LADO,Pedro Almodóvar,Julianne Moore 

 HELLBOY THE CROOKED MAN,Brian Taylor,Jack Kesy 

 HEREJE,Orlando von Einsiedel, 

 HERENCIA DIABÓLICA,Gabriel Grieco, 

 HIJOS,Gustav Möller, 

 HIJOS DEL DIABLO,George Gallo, 

 HISPANOAMÉRICA,José Luis López-Linares, 

 HOMBRE DIFERENTE,Aaron Schimberg,Sebastian Stan 

 HOMBRE LOBO,Leigh Whannell,Christopher Abbott 

 HOMBRE LOBO EL DESPERTAR,Sean Ellis, 

 HOMBRE LOBO LED,Leigh Whannell,Christopher Abbott 

 HORA DE LA DESAPARICIÓN,Brad Anderson,Hayden Christensen 

 HOT MILK,Rebecca Lenkiewicz,Fiona Shaw 

 IMPLACABLE,Martin Campbell,Jackie Chan 

 INFIERNO EN ALTAMAR,Andrzej Sekuła, 

 INSTANTE DE EMOCIÓN,Aki Kaurismäki, 

 JOSEE EL TIGRE Y EL PEZ,Kotaro Tamura, 

 JURASSIC WORLD RENACE,Gareth Edwards,Scarlett Johansson 

 KAIJU NO 8 MISIÓN DE RECONOCIMIENTO,Shigeyuki Miya, 

 KARATE KID LEYENDAS,Jonathan Entwistle,Ben Wang 

 KINRA EL VIAJE DE ATOQCHA,Marco Tóxico, 

 KRAVEN EL CAZADOR,J.C. Chandor,Aaron Taylor-Johnson 

 LECCIONES DE UN PINGÜINO,Peter Cattaneo, 

 LEYENDA DE OCHI,Isaiah Saxon, 

 LEYENDA DEL DRAGÓN,Li Jianping, 

 LIBÉRANOS,Lee Cronin, 

 LILO Y STITCH FINA,Dean Fleischer Camp,Maia Kealoha 

 LLUVIA,Rodrigo García, 

 LOCO POR ELLA,Dani de la Orden,Álvaro Cervantes 

 LOCO POR ELLA BR,Dani de la Orden,Álvaro Cervantes 

 LOCOS DE AMOR MI PRIMER AMOR,Frank Pérez-Garland, 

